week,period,bathroom accessories_pv,bathroom cabinets_pv,bathroom fixture parts_pv,bathroom fixtures_pv,bathroom shelves_pv,bathroom vanities and sink consoles_pv,medicine cabinets_pv,towel bars and hooks_pv,towels_pv,vanity stools and benches_pv,vanity tops and side splashes_pv,bathroom accessories_gmv,bathroom cabinets_gmv,bathroom fixture parts_gmv,bathroom fixtures_gmv,bathroom shelves_gmv,bathroom vanities and sink consoles_gmv,medicine cabinets_gmv,towel bars and hooks_gmv,towels_gmv,vanity stools and benches_gmv,vanity tops and side splashes_gmv
2021-08-09,pre,12968.0,1937.0,51362.0,90722.0,1451.0,94424.0,7587.0,13317.0,59.0,876.0,478.0,18226.709999999995,2885.98,24049.300000000003,100189.74,703.99,587382.3700000001,30698.0,10289.74,49.99,2243.0,322.0
2021-08-16,pre,13763.0,1970.0,49913.0,94320.0,1426.0,117489.0,7905.0,13759.0,74.0,915.0,482.0,20340.02,2851.0,21326.989999999998,127824.99999999999,221.0,559630.08,30764.0,8310.14,180.59,1004.0,630.0
2021-08-23,pre,14892.0,2301.0,58816.0,100883.0,1613.0,110923.0,8413.0,14782.0,71.0,962.0,573.0,15319.509999999997,6897.0,27567.4,120986.12,541.0,575932.65,30787.58,10718.960000000001,51.99,2845.0,0.0
2021-08-30,pre,13757.0,2147.0,58327.0,98599.0,1896.0,101714.0,8086.0,14396.0,85.0,1135.0,630.0,13955.319999999998,4614.99,25212.980000000003,102636.91000000002,347.0,542201.5599999999,33993.979999999996,9473.63,171.0,2378.0,384.99
2021-09-06,pre,12124.0,2463.0,38906.0,77856.0,1707.0,101882.0,8105.0,10781.0,70.0,1198.0,685.0,17511.000000000004,6580.99,21757.82,81167.04999999999,708.6700000000001,518441.24,39511.700000000004,7692.349999999999,183.0,2531.38,1202.96
2021-09-13,pre,13121.0,2235.0,50750.0,91092.0,1633.0,95380.0,8372.0,13670.0,112.0,1277.0,626.0,13612.979999999998,5064.97,29171.680000000008,92289.78000000001,162.0,485695.24999999994,36378.729999999996,5804.37,354.97,1942.0,943.98
2021-09-20,pre,14614.0,2211.0,53549.0,94971.0,1492.0,124043.0,9086.0,13851.0,254.0,1110.0,874.0,16378.559999999996,6202.08,20435.160000000003,116367.31000000001,733.99,554245.1799999999,55180.7,8299.97,209.0,3112.4300000000003,1720.95
2021-09-27,pre,15302.0,2399.0,49807.0,91005.0,1516.0,129773.0,8967.0,12584.0,260.0,1242.0,766.0,17233.17,7861.0,23414.170000000002,113132.74,800.0,607086.65,55754.899999999994,14159.01,260.99,3592.38,1371.94
2021-10-04,pre,14749.0,2823.0,54009.0,88791.0,1433.0,128832.0,9446.0,13046.0,102.0,1363.0,1385.0,20267.190000000002,4563.99,19290.56,121410.8,461.75,644542.21,35768.369999999995,15359.009999999998,163.0,3231.87,2666.99
2021-10-11,pre,14841.0,2636.0,50922.0,93037.0,1699.0,118025.0,9138.0,13643.0,177.0,1264.0,1303.0,15924.04,6415.98,23870.870000000003,95252.89000000003,227.98,713397.53,52116.24,12043.369999999999,328.0,3479.0,3574.99
2021-10-18,pre,8544.0,1425.0,29643.0,52368.0,773.0,70710.0,5599.0,7880.0,296.0,599.0,700.0,11866.429999999998,3736.0,19536.850000000002,82317.35999999999,556.0,415302.74,31591.909999999996,8184.69,381.0,2424.38,2243.98
2021-10-22,post,5837.0,1199.0,19745.0,32842.0,533.0,50078.0,4242.0,5025.0,71.0,489.0,504.0,6287.75,3842.0,7005.02,37318.229999999996,419.0,240334.93999999997,22947.41,3951.9700000000003,212.0,238.0,1878.95
2021-10-25,post,13178.0,2699.0,37916.0,66501.0,790.0,106542.0,9420.0,9812.0,219.0,1325.0,855.0,15369.999999999998,6422.99,39280.24,103594.04,712.99,622447.05,53916.6,8833.529999999999,0.0,2814.79,1690.55
2021-11-01,post,12557.0,2728.0,38377.0,67723.0,837.0,108697.0,9793.0,9951.0,90.0,1215.0,858.0,19299.1,4454.0,25721.62,101423.08000000002,670.98,594274.47,42501.81,13351.76,1069.99,4064.0,2347.02
