week,period,bathroom accessories_pv,bathroom cabinets_pv,bathroom fixture parts_pv,bathroom fixtures_pv,bathroom shelves_pv,bathroom vanities and sink consoles_pv,medicine cabinets_pv,towel bars and hooks_pv,towels_pv,vanity stools and benches_pv,vanity tops and side splashes_pv,bathroom accessories_cm,bathroom cabinets_cm,bathroom fixture parts_cm,bathroom fixtures_cm,bathroom shelves_cm,bathroom vanities and sink consoles_cm,medicine cabinets_cm,towel bars and hooks_cm,towels_cm,vanity stools and benches_cm,vanity tops and side splashes_cm
2020-06-01,pre,6821.0,1633.0,6616.0,26754.0,555.0,82632.0,3389.0,2039.0,273.0,620.0,732.0,2563.7754242273504,412.33672512618165,569.1924814876967,5935.5855307004,121.34327533856155,31015.441052350783,3148.9958578754286,777.4984273307045,-5.387836326035746,475.37520470285943,108.79415905337926
2020-06-08,pre,7413.0,1727.0,6571.0,27628.0,628.0,87578.0,4243.0,2076.0,521.0,686.0,656.0,2248.27912140546,1470.450125016025,143.63153176571936,7099.540920920075,-8.10454292325295,33284.108981490455,4579.0528755410705,625.0610767996768,82.19796488329399,482.9010138043685,214.52527392136855
2020-06-15,pre,7251.0,1715.0,5369.0,24250.0,548.0,64329.0,3822.0,2487.0,484.0,674.0,739.0,1793.0392888535628,-130.95693094755,1075.3903472487696,6507.038235920043,-11.305450704225354,29387.381537271653,2290.4538957669547,1579.6918973633028,97.55579386698909,183.5295062568784,-577.5090258016028
2020-06-22,pre,8176.0,1908.0,4821.0,24043.0,663.0,75797.0,3947.0,2386.0,429.0,673.0,866.0,1848.7493187847097,168.26045194714868,65.11597152242793,8663.253383928251,181.46241610657518,29552.779525232043,3216.0432241581093,503.22080905899173,56.69735449795032,124.21329881651441,83.71201901514287
2020-06-29,pre,8200.0,1653.0,4820.0,24059.0,688.0,82593.0,3988.0,2200.0,456.0,801.0,780.0,1944.8846927379016,326.0966641229239,811.2368124330853,5017.767519758416,82.25330547419108,31095.827185359143,2186.445221014712,709.4344714035792,264.75262718259427,576.0350361421978,-246.1165630583915
2020-07-06,pre,7713.0,1735.0,5695.0,26656.0,572.0,92454.0,4475.0,2230.0,226.0,824.0,754.0,2251.298910269062,162.23445188092734,356.45971373583654,12012.920018320487,315.86916220194456,31954.961362290305,2853.0357525594645,1146.3610209401625,63.942346163462275,527.448550180459,-693.9110099040519
2020-07-13,pre,8203.0,1519.0,5906.0,27378.0,608.0,86835.0,4493.0,2410.0,376.0,920.0,971.0,2379.1625873647686,1121.8899751529327,1056.137288487614,7743.858385430275,58.18532435100953,37119.489131446426,1960.6920197428792,918.1817678717289,99.74800456085129,382.90436270028454,167.23298642719004
2020-07-20,pre,7922.0,1372.0,5636.0,25764.0,549.0,73068.0,4279.0,2723.0,248.0,786.0,734.0,1805.3414462038968,488.5284836387233,1530.7758430365304,5955.519128001227,5.341687819902907,26259.181674383326,2785.078635955986,1346.6582087664672,-3.6801991996527397,241.8534532821552,51.683873967085205
2020-07-27,pre,7482.0,1473.0,5637.0,26275.0,457.0,72378.0,4124.0,2560.0,264.0,1033.0,573.0,1898.9011146547846,89.36681934840675,955.5393432449324,7981.215126752677,168.04425891811448,34168.64198286386,1592.823983945078,1445.9148605635196,43.26796744607943,595.701740910758,30.299511390484927
2020-08-03,pre,7599.0,1664.0,6110.0,25809.0,513.0,72865.0,4385.0,2440.0,187.0,1234.0,690.0,2091.730261961513,365.239859977323,862.563754957099,7092.732014576294,164.60939527948946,40610.12511864386,2834.081077248964,1155.5829547961523,14.431348085363007,227.64502927714224,72.26457732626459
